SeqName	SeqDesc	GOTerms	Enzymes	KeggMaps
gene17177	---NA---			
gene17179	---NA---			
gene17195	---NA---			
gene3887	---NA---			
gene17716	---NA---			
gene14898	---NA---			
gene14451	---NA---			
gene14462	---NA---			
gene14263	---NA---			
gene14265	---NA---			
gene14269	---NA---			
gene14271	---NA---			
gene16868	---NA---			
gene15780	---NA---			
gene15789	---NA---			
gene15791	---NA---			
gene15801	---NA---			
gene15808	---NA---			
gene15809	---NA---			
gene15811	---NA---			
gene13558	---NA---			
gene13560	---NA---			
gene13569	---NA---			
gene13574	---NA---			
gene17571	---NA---			
gene5393	---NA---			
gene16820	---NA---			
gene16535	---NA---			
gene16411	---NA---			
gene17828	---NA---			
gene14957	---NA---			
gene14958	---NA---			
gene14985	---NA---			
gene15936	---NA---			
gene15937	---NA---			
gene15940	---NA---			
gene15944	---NA---			
gene15945	---NA---			
gene17710	---NA---			
gene17711	---NA---			
gene17773	---NA---			
gene12840	---NA---			
gene12852	---NA---			
gene12856	---NA---			
gene15533	---NA---			
gene15540	---NA---			
gene13799	---NA---			
gene13805	---NA---			
gene12585	---NA---			
gene12596	---NA---			
gene12599	---NA---			
gene12605	---NA---			
gene12615	---NA---			
gene12616	---NA---			
gene15923	---NA---			
gene17588	---NA---			
gene17590	---NA---			
gene16788	---NA---			
gene17314	---NA---			
gene9505	---NA---			
gene9507	---NA---			
gene9512	---NA---			
gene9510	---NA---			
gene9509	---NA---			
gene9511	---NA---			
gene9513	---NA---			
gene9551	---NA---			
gene9554	---NA---			
gene14308	---NA---			
gene14309	---NA---			
gene14317	---NA---			
gene14335	---NA---			
gene14337	---NA---			
gene14338	---NA---			
gene15389	---NA---			
gene15392	---NA---			
gene17931	---NA---			
gene15171	---NA---			
gene15409	---NA---			
gene15417	---NA---			
gene10950	---NA---			
gene10966	---NA---			
gene10972	---NA---			
gene10984	---NA---			
gene10983	---NA---			
gene13810	---NA---			
gene13814	---NA---			
gene13820	---NA---			
gene13827	---NA---			
gene13831	---NA---			
gene14986	---NA---			
gene18381	---NA---			
gene18402	---NA---			
gene17875	---NA---			
gene18297	---NA---			
gene18052	---NA---			
gene9944	---NA---			
gene18198	---NA---			
gene18261	---NA---			
gene18262	---NA---			
gene18160	---NA---			
gene18166	---NA---			
gene18334	---NA---			
gene18131	---NA---			
gene17752	---NA---			
gene18153	---NA---			
gene18243	---NA---			
gene18168	---NA---			
gene18292	---NA---			
gene18331	---NA---			
gene17882	---NA---			
gene18283	---NA---			
gene18417	---NA---			
gene18325	---NA---			
gene18250	---NA---			
gene18247	---NA---			
gene18354	---NA---			
gene18303	---NA---			
gene18322	---NA---			
gene18356	---NA---			
gene18125	---NA---			
gene18276	---NA---			
gene18355	---NA---			
gene18240	---NA---			
gene18241	---NA---			
gene18304	---NA---			
gene18182	---NA---			
gene18223	---NA---			
gene18328	---NA---			
gene16779	---NA---			
gene17855	---NA---			
gene18330	---NA---			
gene18253	---NA---			
gene18316	---NA---			
gene18351	---NA---			
gene17804	---NA---			
gene18121	---NA---			
gene16039	---NA---			
gene16556	---NA---			
gene17485	---NA---			
gene17833	---NA---			
gene13331	---NA---			
gene15756	---NA---			
gene14718	---NA---			
gene17559	---NA---			
gene16990	---NA---			
gene16993	---NA---			
gene14901	---NA---			
gene14904	---NA---			
gene14909	---NA---			
gene17838	---NA---			
